,DAY,base,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
20,2020-01-30,USD,1.4880768882,1.7733248708,4.2466225406,1.3216973434,0.9692628525,6.9366216339,22.8941880497,6.7756822921,0.7632876961,7.768428688,6.7479372563,306.791186871,13686.4992293046,3.452715568,71.6393145344,123.2206002357,108.8312630338,1192.3111796174,18.7673406474,4.0880406202,9.224589718,1.5389427872,50.998277269,3.8872971258,4.3313083688,63.1715477378,9.6471121589,1.3627708768,31.1950312812,5.9815033095,1.0,14.7495693173
21,2020-01-31,USD,1.4923995657,1.7696344553,4.2668295331,1.323470865,0.9676076728,6.9366630474,22.8103510677,6.7617625769,0.7616268549,7.7671914586,6.7354325009,304.9674267101,13655.0036192544,3.4464350344,71.3947701773,123.3260948245,108.8943177705,1195.801664857,18.8241042345,4.098534202,9.2194173,1.5456930872,51.0152008686,3.8915128484,4.3240137532,63.6423271806,9.6605139341,1.3655446978,31.1798769453,5.9823561346,1.0,14.9203764025
22,2020-02-03,USD,1.4929513826,1.7673956262,4.2626061811,1.3236038316,0.9643954455,7.0197903488,22.7516717875,6.7530272908,0.7660853063,7.7656786553,6.729170432,305.1689860835,13742.4995481656,3.4461413338,71.3930056027,124.0737393819,108.5306343756,1192.0477137177,18.8128501717,4.1140430146,9.2707392012,1.545816013,50.8702331466,3.8828845111,4.3184529189,63.7979396349,9.6519067414,1.3679739743,31.040122899,5.9841857943,1.0,14.8930056027
23,2020-02-04,USD,1.487961622,1.7702751629,4.2273714699,1.3279326575,0.9686821144,6.9965604634,22.7579652426,6.7640296886,0.7682838523,7.766564084,6.7449312093,304.4170890659,13710.0018102824,3.4513034033,71.245474294,124.8189717596,109.0876176684,1186.4138305576,18.7112599566,4.1115133961,9.2277335264,1.5479724837,50.7802317161,3.869750181,4.3232259232,63.2444786387,9.6196596669,1.3702932657,30.9503982621,5.9805394642,1.0,14.7775162925
24,2020-02-05,USD,1.4786355802,1.7742901207,4.2287943391,1.3284949651,0.9722398621,6.9725120203,22.7297468929,6.7792796879,0.7660709426,7.7630409145,6.7647645831,304.5994738275,13640.9960990656,3.4456137168,71.1539508301,125.2834981403,109.7160482627,1182.0466297741,18.5904926064,4.1170280323,9.17835435,1.5427741994,50.7674861653,3.8547582328,4.3304000726,62.6254195772,9.5663612447,1.379116393,30.9652544679,5.985212737,1.0,14.7188605643
25,2020-02-06,USD,1.4797782423,1.7775152231,4.2309370172,1.3278196855,0.9738253204,6.968644915,22.6238298646,6.7913296374,0.7710169954,7.7633372717,6.7766063801,306.0619830955,13633.3818049623,3.4327001727,71.1483231846,125.5112242116,109.851858584,1183.1136962647,18.6178315005,4.1215123148,9.205489412,1.5444878669,50.7288921203,3.858129601,4.3310915205,63.1259656457,9.5928383168,1.3844406071,31.0797055349,5.9880032718,1.0,14.8166863583
26,2020-02-07,USD,1.4966724405,1.7830248883,4.2919135746,1.3313884584,0.9759321725,6.993436047,22.8188531316,6.8122891786,0.7723584648,7.7644270216,6.7964262923,308.2778740086,13732.5644999544,3.4264746103,71.4399671802,125.7179323548,109.8641626402,1194.0742091348,18.7146503783,4.1400309964,9.2691220713,1.5583918315,50.8852219892,3.8885039657,4.3406873917,63.8347160179,9.6139119336,1.390737533,31.3000273498,5.9885130823,1.0,14.9698240496
27,2020-02-10,USD,1.4951146014,1.7859556205,4.3110218245,1.3313852616,0.9770797187,6.9830152497,22.8527075153,6.8234864396,0.7727878733,7.7654095516,6.8075974797,308.0723221624,13731.3030773445,3.422792439,71.3240799927,125.9245730983,109.743402429,1188.3937539951,18.7623048123,4.1480230116,9.2400694001,1.5622317597,50.8236690713,3.8951693909,4.3523879098,64.0233768606,9.6546434116,1.3888229385,31.3003378687,6.0174413296,1.0,15.0475755639
28,2020-02-11,USD,1.4916062747,1.7941473259,4.3110723787,1.3296945234,0.9785340794,6.9741308137,22.9015686634,6.8545087607,0.7735528851,7.7660765067,6.8424915145,309.999082653,13686.0012842858,3.4125309605,71.2728190074,126.5021557655,109.8339601871,1183.9556004036,18.6737913953,4.1334739932,9.260893496,1.5645353637,50.51004495,3.9050545821,4.3751032015,63.5903128153,9.6663608843,1.3876708559,31.2650215577,6.0338501055,1.0,14.8913861114
29,2020-02-12,USD,1.4820414147,1.792010262,4.3326003299,1.3256367968,0.9753527579,6.9702217336,22.7945757742,6.8460692688,0.7701850834,7.7687374015,6.8329668316,311.0591900312,13664.0003665017,3.4199193696,71.3161993769,126.3514751695,109.9780098955,1180.1356056441,18.6250687191,4.1359721459,9.2033168408,1.5422393256,50.567161444,3.8990287704,4.3671431189,62.9952354774,9.617463808,1.3855598314,31.1050027488,6.0402235661,1.0,14.7760674363
