,DAY,base,EUR,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
21,2020-01-31,RUB,0.0142171672,0.0234497956,0.0278059357,0.0670438955,0.0207954505,0.0152038386,0.1089944908,0.3584147859,0.1062463124,0.0119673005,0.1220444286,0.1058325929,4.7918962147,214.5585214146,0.05415319,1.1218126888,1.9377998934,1.7110360761,18.7894082104,0.2957796339,0.0643995024,0.1448629821,0.0242871868,0.8015923227,0.0611466145,0.0679424205,1.0,0.1517938511,0.0214565488,0.4899235827,0.0939996446,0.0157128132,0.2344410876
22,2020-02-03,RUB,0.0141645467,0.0234012476,0.0277030204,0.0668141668,0.0207468116,0.0151164042,0.1100316153,0.3566207924,0.1058502411,0.0120079945,0.1217230321,0.105476297,4.7833674227,215.4066358068,0.0540164989,1.1190487657,1.9447922628,1.7011620594,18.6847368511,0.2948817827,0.0644855153,0.1453140847,0.0242298736,0.7973648277,0.0608622243,0.0676895358,1.0,0.1512886905,0.0214422908,0.4865380148,0.0937990447,0.0156744874,0.2334402284
23,2020-02-04,RUB,0.0143117822,0.0235271387,0.0279909836,0.0668417475,0.0209968156,0.0153164693,0.1106272139,0.3598411392,0.106950517,0.0121478407,0.1228022469,0.1066485384,4.813338581,216.7778453612,0.0545708254,1.1265089985,1.9735947619,1.7248559877,18.7591684855,0.2958560235,0.0650098394,0.1459057569,0.0244760099,0.8029196036,0.0611871623,0.0683573652,1.0,0.1521027586,0.021666607,0.4893770797,0.0945622384,0.0158116569,0.2336570181
24,2020-02-05,RUB,0.0144860355,0.0236107892,0.0283317882,0.0675252057,0.0212133503,0.0155246842,0.1113367714,0.3629476185,0.1082512458,0.0122325878,0.1239599027,0.1080194692,4.8638312667,217.8188376405,0.0550194113,1.1361832194,2.0005214973,1.7519411288,18.8748696257,0.2968521845,0.0657405261,0.1465595666,0.0246349519,0.8106530305,0.0615526133,0.0691476417,1.0,0.1527552439,0.0220216711,0.4944518484,0.095571619,0.0159679569,0.235030131
25,2020-02-06,RUB,0.0143972933,0.023441673,0.0281582263,0.0670237195,0.0210344455,0.0154266998,0.1103926862,0.3583918223,0.1075837743,0.0122139438,0.1229816794,0.1073505381,4.8484324947,215.9710614404,0.0543785768,1.127084908,1.988266206,1.7402008422,18.7421084836,0.2949314329,0.0652902854,0.1458273045,0.0244667602,0.8036137206,0.0611179498,0.0686103013,1.0,0.1519634309,0.0219313969,0.4923442393,0.0948580067,0.0158413418,0.2347161934
26,2020-02-07,RUB,0.0142815726,0.0234460578,0.0279318997,0.0672347876,0.0208568087,0.0152884235,0.1095553718,0.3574677629,0.1067176233,0.0120993483,0.1216332978,0.106469124,4.8293137847,215.1268989136,0.0536772907,1.1191397352,1.9694288656,1.7210723176,18.7057181989,0.2931735511,0.0648554776,0.1452050334,0.0244129203,0.7971402579,0.0609151917,0.0679988518,1.0,0.1506063242,0.021786539,0.4903292331,0.0938127943,0.015665457,0.2345091352
27,2020-02-10,RUB,0.0142628937,0.0233526358,0.0278953674,0.0673351209,0.020795299,0.0152612962,0.1090697741,0.3569431766,0.1065780466,0.0120704016,0.1212902214,0.1063298722,4.8118724327,214.4732713373,0.0534616043,1.1140318348,1.9668530351,1.7141145596,18.5618724327,0.2930539708,0.0647891944,0.1443233683,0.0244009585,0.7938298722,0.0608397992,0.06798123,1.0,0.150798722,0.021692435,0.4888892058,0.0939881903,0.0156192948,0.2350325194
28,2020-02-11,RUB,0.0144258927,0.0234565016,0.028214161,0.067794483,0.0209103315,0.0153880998,0.1096728496,0.3601424124,0.1077917132,0.0121646341,0.1221267228,0.107602734,4.8749419358,215.2214807313,0.053664321,1.120812524,1.9893306097,1.7272121385,18.6184899553,0.2936578005,0.0650016301,0.145633715,0.0246033601,0.7943040805,0.0614095828,0.0688014103,1.0,0.1520099596,0.021822048,0.4916632766,0.0948863095,0.0157256657,0.2341769595
29,2020-02-12,RUB,0.0145448199,0.0235262461,0.0284467587,0.0687766352,0.0210434454,0.0154829607,0.1106468081,0.3618460285,0.108675985,0.0122260847,0.1233226186,0.1084679941,4.9378208951,216.9052986779,0.0542885401,1.1320887816,2.005730659,1.7458147281,18.7337279828,0.2956583713,0.0656553169,0.1460954431,0.0244818408,0.8027140634,0.0618940264,0.0693249749,1.0,0.1526697017,0.0219946766,0.4937675447,0.095883816,0.0158742164,0.234558492
30,2020-02-13,RUB,0.0144883651,0.0233813236,0.0283363445,0.0683590043,0.0208719388,0.0154054786,0.1099522029,0.3598185477,0.108258513,0.0120796744,0.1222789039,0.107957155,4.8843176487,215.7627617142,0.0539416322,1.1221166342,1.9950478768,1.7271580058,18.6323273096,0.2932604472,0.0652063361,0.1454849183,0.0243911627,0.7948751755,0.0615943866,0.0690298156,1.0,0.1518713897,0.021871636,0.4902717872,0.0953957424,0.0157445064,0.2337161642
